,AT,SA,DA,Length,SRCE,DSTI
4262,2020-05-23 21:06:30+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2329,PhilipsHue,Actie_uitsturen
4279,2020-05-23 21:06:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,981,Desktop,Actie_uitsturen
4304,2020-05-23 21:07:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,1308,Laptop,Actie_uitsturen
4305,2020-05-23 21:07:15+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1875,Google_speaker,Actie_uitsturen
4309,2020-05-23 21:07:15+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
4311,2020-05-23 21:07:15+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1273,Google_home,Actie_uitsturen
4317,2020-05-23 21:07:25+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,330,Google_home,Actie_uitsturen
4319,2020-05-23 21:07:25+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,793,Google_speaker,Actie_uitsturen
4332,2020-05-23 21:07:35+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2790,PhilipsHue,Actie_uitsturen
4339,2020-05-23 21:07:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:00:00:fb,192,Desktop,Actie_uitsturen
4340,2020-05-23 21:07:45+02:00,e4:ce:8f:62:3b:53,33:33:00:00:00:fb,212,Desktop,Actie_uitsturen
4341,2020-05-23 21:07:45+02:00,e4:ce:8f:4c:29:ae,01:00:5e:00:00:fb,192,Laptop,Actie_uitsturen
4344,2020-05-23 21:07:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
4349,2020-05-23 21:07:55+02:00,e4:ce:8f:62:3b:53,01:00:5e:00:00:fb,242,Desktop,Actie_uitsturen
4353,2020-05-23 21:07:55+02:00,e4:ce:8f:62:3b:53,33:33:00:00:00:fb,262,Desktop,Actie_uitsturen
4355,2020-05-23 21:07:55+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,309,Google_home,Actie_uitsturen
4357,2020-05-23 21:08:00+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
4359,2020-05-23 21:08:00+02:00,e4:ce:8f:62:3b:53,33:33:00:00:00:fb,338,Desktop,Actie_uitsturen
4360,2020-05-23 21:08:00+02:00,e4:ce:8f:62:3b:53,01:00:5e:00:00:fb,318,Desktop,Actie_uitsturen
4361,2020-05-23 21:08:00+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,192,Google_speaker,Actie_uitsturen
4409,2020-05-23 21:08:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,1308,Desktop,Actie_uitsturen
4421,2020-05-23 21:08:55+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
4424,2020-05-23 21:09:00+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1158,Google_speaker,Actie_uitsturen
4427,2020-05-23 21:09:00+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1990,Google_home,Actie_uitsturen
4431,2020-05-23 21:09:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1513,Google_home,Actie_uitsturen
